,Ville,Nombre de requetes mensuelles totales,Nombre etablissement booking,Score,Latitude,Longitude,geometry
60,isla cristina,5050.0,16,315.625,37.2036925,-7.3238913,POINT (-7.3238913 37.2036925)
61,islantilla,50500.0,10,5050.0,37.2066136,-7.2367145,POINT (-7.2367145 37.2066136)
62,labruge,100.0,3,33.333333333333336,41.2779415,-8.7151992,POINT (-8.7151992 41.2779415)
63,lagos,10550.0,152,69.40789473684211,37.098464,-8.672575,POINT (3.3941795 6.4550575)
64,laguna de el portil,0.0,6,0.0,37.2137104,-7.045770859780757,POINT (-7.045770859780757 37.2137104)
65,lavra,50050.0,5,10010.0,41.2594836,-8.7168977,POINT (-8.7168977 41.2594836)
66,lourinhã,5050.0,21,240.47619047619048,39.246033100000005,-9.271334569016991,POINT (-9.271334569016993 39.246033100000005)
67,luz,5500.0,16,343.75,37.088791,-8.72696,POINT (-46.63539301511077 -23.53512225)
68,manta rota,550.0,6,91.66666666666669,37.1666602,-7.5206208,POINT (-7.5206208 37.1666602)
69,marinhas,500.0,1,500.0,41.8786123,-8.8040828,POINT (-8.8040828 41.8786123)
70,matalascañas,50050.0,14,3575.0,36.9990019,-6.5478919,POINT (-6.5478919 36.9990019)
71,matosinhos,5500.0,34,161.76470588235293,41.1806814,-8.6821998,POINT (-8.6821998 41.1806814)
72,mazagón,5000.0,13,384.61538461538464,37.14597,-6.8562644,POINT (-6.8562644 37.14597)
73,melides,550.0,3,183.33333333333331,38.147298,-8.728584,POINT (-8.728584 38.147298)
74,mindelo,1000.0,4,250.0,38.82961,-9.46643,POINT (-24.9863842 16.8874145)
75,moledo,550.0,14,39.285714285714285,39.29675495,-9.25366163639725,POINT (-9.25366163639725 39.29675495)
76,monte ruivo,0.0,1,0.0,37.5530499,-8.6302407,POINT (-8.6302407 37.5530499)
77,nascedios,0.0,125,0.0,37.6575809,-8.4848219,POINT (-8.4848219 37.6575809)
78,nazaré,5500.0,129,42.63565891472868,39.5968,-9.07206,POINT (-39.0062515 -13.0345586)
79,odeceixe,1000.0,20,50.0,37.4332252,-8.7701988,POINT (-8.7701988 37.4332252)
